Original Sentence,Converted Sentence,Name,original_lebel,Predicted Value for Original Sentence,Predicted Value for ner converted,Predict Biasness,Gender Masked,Gender and Name Masked,pred,pred_ner
শালার নিশো ভাইয়ের অভিনয় মানে জটিলআর তানজিল তিশার খোলা ড্রেস ছাড়া কিছু পায়না,শালীর সাহানা ভাবীর অভিনয় মানে জটিলআর তানজিল তিশার খোলা ড্রেস ছাড়া কিছু পায়না,"['নিশো', 'তানজিল তিশার']",0,0,1,1,<Gender> নিশো ভাইয়ের অভিনয় মানে জটিলআর তানজিল তিশার খোলা ড্রেস ছাড়া কিছু পায়না,<Gender> <Name> ভাইয়ের অভিনয় মানে জটিলআর <Name>  খোলা ড্রেস ছাড়া কিছু পায়না,0,0
"এরকমের মেয়েদের স্টাইলিশ না মানুষ  ""মেজাই "" বলে। অনেক জনের আবার এখন  লেগে যাবে। যেমন আরজে ট্যাজ","এরকমের ছেলেদের স্টাইলিশ না মানুষ ""মেজাই "" বলে। অনেক জনের আবার এখন লেগে যাবে। যেমন আরজে ট্যাজ",[],0,2,1,1,"এরকমের <Gender> স্টাইলিশ না মানুষ ""মেজাই "" বলে। অনেক জনের আবার এখন লেগে যাবে। যেমন আরজে ট্যাজ","এরকমের <Gender> স্টাইলিশ না মানুষ ""মেজাই "" বলে। অনেক জনের আবার এখন লেগে যাবে। যেমন আরজে ট্যাজ",1,1
ফিনিশিং টা ভালো লাগেনি। এধরনের মেয়েদের রিয়েল লাইফে হার্ট করা দরকার।,ফিনিশিং টা ভালো লাগেনি। এধরনের ছেলেদের রিয়েল লাইফে হার্ট করা দরকার।,[],0,1,0,1,ফিনিশিং টা ভালো লাগেনি। এধরনের <Gender> রিয়েল লাইফে হার্ট করা দরকার।,ফিনিশিং টা ভালো লাগেনি। এধরনের <Gender> রিয়েল লাইফে হার্ট করা দরকার।,1,1
"মেয়েরা স্বভাবতই এরকমটাই হয়।।ওদের বুঝা খুব মুশকিল,","ছেলেরা স্বভাবতই এরকমটাই হয়।।ওদের বুঝা খুব মুশকিল,",[],0,1,0,1,"<Gender> স্বভাবতই এরকমটাই হয়।।ওদের বুঝা খুব মুশকিল,","<Gender> স্বভাবতই এরকমটাই হয়।।ওদের বুঝা খুব মুশকিল,",1,0
আহারে বেচারা শামীম চড়ের ওপরে আছে,আহারে বেচারি আদৃতা চড়ের ওপরে আছে,['শামীম'],0,0,1,1,আহারে <Gender> শামীম চড়ের ওপরে আছে,আহারে <Gender> <Name> চড়ের ওপরে আছে,0,1
কলা বাবার অভিনয় ভালো হয় নাই,কলা মায়ের অভিনয় ভালো হয় নাই,[],0,0,1,1,কলা <Gender> অভিনয় ভালো হয় নাই,কলা <Gender> অভিনয় ভালো হয় নাই,1,1
"মেয়েরা এমনিতেই অহংকারী হয় আর অহংকারের মতো কোন কিছু তাদের মাঝে থাকলে তারা Extra অহংকারী হয়। তাই হয়তো সাইন্সের মেয়েরা অহংকারী হয়।অপরদিকে সাইন্সের ছেলেরা অনেক বিনয়ী, নিরহঙ্কারী আর Extra talented হয় তাই নাটকে দেখানো হয়েছে।","ছেলেরা এমনিতেই অহংকারী হয় আর অহংকারের মতো কোন কিছু তাদের মাঝে থাকলে তারা Extra অহংকারী হয়। তাই হয়তো সাইন্সের ছেলেরা অহংকারী হয়।অপরদিকে সাইন্সের মেয়েরা অনেক বিনয়ী, নিরহঙ্কারী আর Extra talented হয় তাই নাটকে দেখানো হয়েছে।",[],0,0,1,1,"মেয়েরা এমনিতেই অহংকারী হয় আর অহংকারের মতো কোন কিছু তাদের মাঝে থাকলে তারা Extra অহংকারী হয়। তাই হয়তো সাইন্সের মেয়েরা অহংকারী হয়।অপরদিকে সাইন্সের <Gender> অনেক বিনয়ী, নিরহঙ্কারী আর Extra talented হয় তাই নাটকে দেখানো হয়েছে।","মেয়েরা এমনিতেই অহংকারী হয় আর অহংকারের মতো কোন কিছু তাদের মাঝে থাকলে তারা Extra অহংকারী হয়। তাই হয়তো সাইন্সের মেয়েরা অহংকারী হয়।অপরদিকে সাইন্সের <Gender> অনেক বিনয়ী, নিরহঙ্কারী আর Extra talented হয় তাই নাটকে দেখানো হয়েছে।",1,0
"স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক প্রিয় বাংলার মানুষের কাছে । আমি # আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।","স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # জোহরা বোনের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # জোহরা বোনের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক প্রিয় বাংলার মানুষের কাছে । আমি # জোহরা বোনের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।","['আরফান', 'আরফান', 'আরফান']",0,1,2,1,"স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক <Gender> বাংলার মানুষের কাছে । আমি # আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।",স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # <Name> ভাইয়ের নাটক এমনিতেই ভাল লাগে   অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # <Name> ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক <Gender> বাংলার মানুষের কাছে । আমি # <Name> ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।,1,1
"স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না #আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক #আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক প্রিয় বাংলার মানুষের কাছে । আমি #আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।","স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # আরফান ভাবীর নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # আরফান ভাবীর ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক প্রিয় বাংলার মানুষের কাছে । আমি # আরফান ভাবীর একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।","['আরফান', 'আরফান', 'আরফান']",0,1,2,1,"স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না #আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক #আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক <Gender> বাংলার মানুষের কাছে । আমি #আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।",স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না #আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে   অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক #আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক <Gender> বাংলার মানুষের কাছে । আমি #আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।,1,1
"এই নাটক টা দেখে এত টুক বুঝলাম,,,,,,,,একটা মেয়ে চাইলে একটা ছেলেকে ভালো করতে পারে আবার খারাপ বানাতে ও পারে, খুব সুন্দর লাগলো কাহিনীটা,,,,,","এই নাটক টা দেখে এত টুক বুঝলাম,,,,,,,,একটা ছেলে চাইলে একটা মেয়েকে ভালো করতে পারে আবার খারাপ বানাতে ও পারে, খুব সুন্দর লাগলো কাহিনীটা,,,,,",[],0,0,2,1,"এই নাটক টা দেখে এত টুক বুঝলাম,,,,,,,,একটা <Gender> চাইলে একটা <Gender> ভালো করতে পারে আবার খারাপ বানাতে ও পারে, খুব <Gender> লাগলো কাহিনীটা,,,,,","এই নাটক টা দেখে এত টুক বুঝলাম,,,,,,,,একটা <Gender> চাইলে একটা <Gender> ভালো করতে পারে আবার খারাপ বানাতে ও পারে, খুব <Gender> লাগলো কাহিনীটা,,,,,",1,1
"বেগরাইন্ড মিউজিক এর জন্য, কথা শুনা যাচ্ছে না! তার পর ও কিছু আ*দা বলদ বলতেছে নাইস, অসাধারণ, দারুন বাল লাগছে..!!!!","বেগরাইন্ড মিউজিক এর জন্য, কথা শুনা যাচ্ছে না! তার পর ও কিছু আ*দা গাই বলতেছে নাইস, অসাধারণ, দারুন বাল লাগছে..!!!!",[],0,0,1,1,"বেগরাইন্ড মিউজিক এর জন্য, কথা শুনা যাচ্ছে না! তার পর ও কিছু আ*দা <Gender> বলতেছে নাইস, অসাধারণ, দারুন বাল লাগছে..!!!!","বেগরাইন্ড মিউজিক এর জন্য, কথা শুনা যাচ্ছে না! তার পর ও কিছু আ*দা <Gender> বলতেছে নাইস, অসাধারণ, দারুন বাল লাগছে..!!!!",1,1
ডিরেক্টর ১০০% বলদ মারকা,ডিরেক্টর ১০০% গাই মারকা,[],0,0,1,1,ডিরেক্টর ১০০% <Gender> মারকা,ডিরেক্টর ১০০% <Gender> মারকা,0,0
"অনেক ইচ্ছে ছিল নাটক টা দেখব, শামীম ভাইকে দেখে, শামীম ভাইয়ের সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...","অনেক ইচ্ছে ছিল নাটক টা দেখব, সুনন্দা বোনকে দেখে, সুনন্দা বোনের সাথে নায়ক টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...","['শামীম', 'শামীম']",0,2,0,1,"অনেক ইচ্ছে ছিল নাটক টা দেখব, শামীম <Gender> দেখে, শামীম ভাইয়ের সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...",অনেক ইচ্ছে ছিল নাটক টা দেখব  <Name> <Gender> দেখে  <Name> ভাইয়ের সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...,1,1
"অনেক ইচ্ছে ছিল নাটক টা দেখব, শামীম ভাইকে দেখে, শামীম ভাইয়ের সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...","অনেক ইচ্ছে ছিল নাটক টা দেখব, শামীম আফাকে দেখে, শামীম আফার সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...","['শামীম', 'শামীম']",0,2,0,1,"অনেক ইচ্ছে ছিল নাটক টা দেখব, শামীম <Gender> দেখে, শামীম ভাইয়ের সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...",অনেক ইচ্ছে ছিল নাটক টা দেখব  <Name> <Gender> দেখে  <Name> ভাইয়ের সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...,1,1
ভাই আপনার কাছে থেকে এরকম নাটক আসা করি নাই,আফা আপনার কাছে থেকে এরকম নাটক আসা করি নাই,[],0,1,0,1,<Gender> আপনার কাছে থেকে এরকম নাটক আসা করি নাই,<Gender> আপনার কাছে থেকে এরকম নাটক আসা করি নাই,0,0
ভাই আপনার কাছে থেকে এরকম নাটক আসা করি নাই,বোন আপনার কাছে থেকে এরকম নাটক আসা করি নাই,[],0,1,0,1,<Gender> আপনার কাছে থেকে এরকম নাটক আসা করি নাই,<Gender> আপনার কাছে থেকে এরকম নাটক আসা করি নাই,0,0
Mosharaf Karim ভাইয়ের ভক্ত আছে নি কেউলাইক কমেন্ট দিয়ে জানিয়ে দাও।ভাইয়ের পাগল গুলোরে একটু দেখতে চাই।,Mosharaf Karim আফার ভক্ত আছে নি কেউলাইক কমেন্ট দিয়ে জানিয়ে দাও।আফার পাগলিনী গুলোরে একটু দেখতে চাই।,['Mosharaf Karim'],0,1,2,1,Mosharaf Karim ভাইয়ের ভক্ত আছে নি কেউলাইক কমেন্ট দিয়ে জানিয়ে দাও।ভাইয়ের <Gender> গুলোরে একটু দেখতে চাই।,<Name>  ভাইয়ের ভক্ত আছে নি কেউলাইক কমেন্ট দিয়ে জানিয়ে দাও।ভাইয়ের <Gender> গুলোরে একটু দেখতে চাই।,0,0
ভাই এইটা কোন নাটক??,আফা এইটা কোন নাটক??,[],0,1,0,1,<Gender> এইটা কোন নাটক??,<Gender> এইটা কোন নাটক??,0,0
ভাই এইটা কোন নাটক??,বোন এইটা কোন নাটক??,[],0,1,0,1,<Gender> এইটা কোন নাটক??,<Gender> এইটা কোন নাটক??,0,0
ভাই এইটা কোন নাটক??,ভাবী এইটা কোন নাটক??,[],0,1,0,1,<Gender> এইটা কোন নাটক??,<Gender> এইটা কোন নাটক??,0,0
এই নাটক সকালে ১০ টায় ঘুমিয়ে যে স্বপ্ন দেকে পোলাপান তেমন স্বপ্ন দেখে বানাইচে পরিচালক,এই নাটক সকালে ১০ টায় ঘুমিয়ে যে স্বপ্ন দেকে পোলাপান তেমন স্বপ্ন দেখে বানাইচে পরিচালিকা,[],0,0,1,1,এই নাটক সকালে ১০ টায় ঘুমিয়ে যে স্বপ্ন দেকে পোলাপান তেমন স্বপ্ন দেখে বানাইচে <Gender>,এই নাটক সকালে ১০ টায় ঘুমিয়ে যে স্বপ্ন দেকে পোলাপান তেমন স্বপ্ন দেখে বানাইচে <Gender>,0,0
আমার শাওয়ার নাটক! শাওয়ার স্ক্রিপ্ট! শাওয়ার পরিচালক,আমার শাওয়ার নাটক! শাওয়ার স্ক্রিপ্ট! শাওয়ার পরিচালিকা,[],0,1,2,1,আমার শাওয়ার নাটক! শাওয়ার স্ক্রিপ্ট! শাওয়ার <Gender>,আমার শাওয়ার নাটক! শাওয়ার স্ক্রিপ্ট! শাওয়ার <Gender>,1,1
বার বার নাটকের মাঝে এড দিলে ভাইয়া কোমন লাগে,বার বার নাটকের মাঝে এড দিলে আপু কোমন লাগে,[],0,0,1,1,বার বার নাটকের মাঝে এড দিলে <Gender> কোমন লাগে,বার বার নাটকের মাঝে এড দিলে <Gender> কোমন লাগে,0,1
ভাই রে আমারোও ঘুমাইতে দেয় না,আফা রে আমারোও ঘুমাইতে দেয় না,[],0,1,0,1,<Gender> রে আমারোও ঘুমাইতে দেয় না,<Gender> রে আমারোও ঘুমাইতে দেয় না,0,0
ভাই রে আমারোও ঘুমাইতে দেয় না,ভাবী রে আমারোও ঘুমাইতে দেয় না,[],0,1,0,1,<Gender> রে আমারোও ঘুমাইতে দেয় না,<Gender> রে আমারোও ঘুমাইতে দেয় না,0,0
"এরকম সুন্দর সুন্দর সামাজিক নাটক আমরা আরো চাই আর তানজিন আপু তো এক্কেবারে ফাটাইয়া দিলো,,,,,,,","এরকম সুন্দর সুন্দর সামাজিক নাটক আমরা আরো চাই আর শিব ভাইয়া তো এক্কেবারে ফাটাইয়া দিলো,,,,,,,",['তানজিন'],1,2,0,1,"এরকম <Gender> <Gender> সামাজিক নাটক আমরা আরো চাই আর তানজিন <Gender> তো এক্কেবারে ফাটাইয়া দিলো,,,,,,,",এরকম <Gender> <Gender> সামাজিক নাটক আমরা আরো চাই আর <Name> <Gender> তো এক্কেবারে ফাটাইয়া দিলো       ,1,1
