Original Sentence,Converted Sentence,Name,original_lebel,Predicted Value for Original Sentence,Predicted Value for ner converted,Predict Biasness,Gender Masked,Gender and Name Masked,pred,pred_original,pred_ner
ছোটবেলায় বুড়ো ছিলো এই মানব,ছোটবেলায় বুড়ি ছিলো এই মানবী,[],1,0,1,1,ছোটবেলায় বুড়ো ছিলো এই <Gender>,ছোটবেলায় বুড়ো ছিলো এই <Gender>,0,1,1
নিজেদের মৌলিক গানগুলোর হোগা মেরে নিজেকে লিজেন্ড ভাবা লোক ইনি,নিজেদের মৌলিক গানগুলোর হোগা মেরে নিজেকে লিজেন্ড ভাবা মহিলা ইনি,[],1,0,1,1,নিজেদের মৌলিক গানগুলোর হোগা মেরে নিজেকে লিজেন্ড ভাবা <Gender> ইনি,নিজেদের মৌলিক গানগুলোর হোগা মেরে নিজেকে লিজেন্ড ভাবা <Gender> ইনি,1,1,1
"লোক মুখে শুনতাম, ভিখারি ধনি হলে, অভ্যাসটা ভিখারির মতোই থেকে যায় রানু দি তার বাস্তব উদাহরন ","স্ত্রীলোক মুখে শুনতাম ,  ভিখারি ধনি হলে ,  অভ্যাসটা ভিখারির মতোই থেকে যায়  রামকুমার  দা তার বাস্তব উদাহরন",['রানু'],1,1,0,1,"<Gender> মুখে শুনতাম, <Gender> ধনি হলে, অভ্যাসটা ভিখারির মতোই থেকে যায় রানু <Gender> তার বাস্তব উদাহরন",<Gender> মুখে শুনতাম  <Gender> ধনি হলে  অভ্যাসটা ভিখারির মতোই থেকে যায় <Name> <Gender> তার বাস্তব উদাহরন,1,1,0
"লোক মুখে শুনতাম, ভিখারি ধনি হলে, অভ্যাসটা ভিখারির মতোই থেকে যায় রানু দি তার বাস্তব উদাহরন ","মহিলা মুখে শুনতাম ,  ভিখারি ধনি হলে ,  অভ্যাসটা ভিখারির মতোই থেকে যায়  নিলয়  দা তার বাস্তব উদাহরন",['রানু'],1,1,0,1,"<Gender> মুখে শুনতাম, <Gender> ধনি হলে, অভ্যাসটা ভিখারির মতোই থেকে যায় রানু <Gender> তার বাস্তব উদাহরন",<Gender> মুখে শুনতাম  <Gender> ধনি হলে  অভ্যাসটা ভিখারির মতোই থেকে যায় <Name> <Gender> তার বাস্তব উদাহরন,1,1,1
"আফাঢারে কেউ বুঝাও যে তার চেহারা দেখে তার জামাই ভয় পেয়ে যায়, সেজন্য তার যৌবনের জ্বালা মিটাতে এসেও ভয়ে স্বামী পালিয়ে যায়","ভাইঢারে কেউ বুঝাও যে তার চেহারা দেখে তার বউ ভয় পেয়ে যায় ,  সেজন্য তার যৌবনের জ্বালা মিটাতে এসেও ভয়ে স্ত্রী পালিয়ে যায়",[],1,0,1,1,"আফাঢারে কেউ বুঝাও যে তার চেহারা দেখে তার <Gender> ভয় পেয়ে যায়, সেজন্য তার যৌবনের জ্বালা মিটাতে এসেও ভয়ে <Gender> পালিয়ে যায়","আফাঢারে কেউ বুঝাও যে তার চেহারা দেখে তার <Gender> ভয় পেয়ে যায়, সেজন্য তার যৌবনের জ্বালা মিটাতে এসেও ভয়ে <Gender> পালিয়ে যায়",0,0,1
বংলাদেশে রোহিঙ্গার পক্ষ এই প্রথম আন্দোলন শিবির কিন্তু বাধা দিল অত্যাচারী জুলুমকারী সরকারের সন্ত্রাস পুলিশ বাহিনী ।।,বংলাদেশে রোহিঙ্গার পক্ষ এই প্রথম আন্দোলন  শিব ির কিন্তু বাধা দিল অত্যাচারী জুলুমকারী সরকারের  সন্ত ্রাস মহিলা পুলিশ বাহিনী  ।  ।,[],1,0,1,1,বংলাদেশে রোহিঙ্গার পক্ষ এই প্রথম আন্দোলন শিবির কিন্তু বাধা দিল অত্যাচারী জুলুমকারী সরকারের সন্ত্রাস <Gender> বাহিনী ।।,বংলাদেশে রোহিঙ্গার পক্ষ এই প্রথম আন্দোলন শিবির কিন্তু বাধা দিল অত্যাচারী জুলুমকারী সরকারের সন্ত্রাস <Gender> বাহিনী ।।,1,1,1
মাইয়া মানুষ দেখলে হুশ থাকে না?,পোলা মানুষ দেখলে হুশ থাকে না?,[],1,0,1,1,<Gender> মানুষ দেখলে হুশ থাকে না?,<Gender> মানুষ দেখলে হুশ থাকে না?,1,1,1
বাহ ভাই তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,বাহ আফা তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাইগ্যারাও পারেনা ।  ।,[],1,1,0,1,বাহ <Gender> তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,বাহ <Gender> তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,1,1,1
বাহ ভাই তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,বাহ বোন তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাইগ্যারাও পারেনা ।  ।,[],1,1,0,1,বাহ <Gender> তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,বাহ <Gender> তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,1,1,1
বাহ ভাই তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,বাহ ভাবী তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাইগ্যারাও পারেনা ।  ।,[],1,1,0,1,বাহ <Gender> তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,বাহ <Gender> তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,1,1,1
পার্থ হচ্ছে একজন চোরের ছেলে চোর ।,পার্থ হচ্ছে একজন চুন্নির মেয়ে চুন্নি ।,['পার্থ'],1,1,0,1,পার্থ হচ্ছে একজন চোরের <Gender> <Gender> ।,<Name> হচ্ছে একজন চোরের <Gender> <Gender> ।,1,1,1
"ওরে যেখানে পাবেন গুলি করে ফেলবেন , নাস্তিক মেয়ে ...","ওরে যেখানে পাবেন গুলি করে ফেলবেন  ,  নাস্তিক ছেলে  .  .  . ",[],1,1,0,1,"ওরে যেখানে পাবেন গুলি করে ফেলবেন , নাস্তিক <Gender> ...","ওরে যেখানে পাবেন গুলি করে ফেলবেন , নাস্তিক <Gender> ...",1,1,1
বারো ভাতারি মেয়েরা যেভাবে দই খায়,বারো ভাতারি ছেলেরা যেভাবে দই খায়,[],1,1,0,1,বারো ভাতারি <Gender> যেভাবে দই খায়,বারো ভাতারি <Gender> যেভাবে দই খায়,1,1,1
"শুনলাম উনার বাসা নাকি।

ভোদা উপজেলা আজ্ঞুল দিয়া গ্রামে?

এম আই রাইট চোত্তমারানী পোলা বচ আমার আরিফফা নটির পোলা।",শুনলাম উনার বাসা নাকি ।  ভোদা উপজেলা আজ্ঞুল দিয়া গ্রামে? এম আই রাইট চোত্তমারানী মাইয়া বচ আমার আরিফফা নটের মাইয়া ।,['আরিফফা'],1,1,0,1,শুনলাম উনার বাসা নাকি। ভোদা উপজেলা আজ্ঞুল দিয়া গ্রামে? এম আই রাইট চোত্তমারানী <Gender> বচ আমার আরিফফা নটির পোলা।,শুনলাম উনার বাসা নাকি। ভোদা উপজেলা আজ্ঞুল দিয়া গ্রামে? এম আই রাইট চোত্তমারানী <Gender> বচ আমার <Name> নটির পোলা।,1,1,1
পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না। কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের মা বোনদের ধর্ষণকারীকে সমর্থন করে। আর সাহায্যকারী বন্ধু দেশকে গালিগালাজ করে। নির্লজ্জের মত বিরোধিতা করে।,পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না ।  কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের বাপ ভাইদের ধর্ষণকারীকে সমর্থন করে ।  আর সাহায্যকারী বন্ধু দেশকে গালিগালাজ করে ।  নির্লজ্জের মত বিরোধিতা করে ।,[],1,1,0,1,পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না। কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের <Gender> <Gender> ধর্ষণকারীকে সমর্থন করে। আর সাহায্যকারী <Gender> দেশকে গালিগালাজ করে। নির্লজ্জের মত বিরোধিতা করে।,পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না। কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের <Gender> <Gender> ধর্ষণকারীকে সমর্থন করে। আর সাহায্যকারী <Gender> দেশকে গালিগালাজ করে। নির্লজ্জের মত বিরোধিতা করে।,1,1,1
পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না। কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের মা বোনদের ধর্ষণকারীকে সমর্থন করে। আর সাহায্যকারী বন্ধু দেশকে গালিগালাজ করে। নির্লজ্জের মত বিরোধিতা করে।,পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না ।  কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের বাবা ভাইদের ধর্ষণকারীকে সমর্থন করে ।  আর সাহায্যকারী বন্ধু দেশকে গালিগালাজ করে ।  নির্লজ্জের মত বিরোধিতা করে ।,[],1,1,0,1,পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না। কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের <Gender> <Gender> ধর্ষণকারীকে সমর্থন করে। আর সাহায্যকারী <Gender> দেশকে গালিগালাজ করে। নির্লজ্জের মত বিরোধিতা করে।,পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না। কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের <Gender> <Gender> ধর্ষণকারীকে সমর্থন করে। আর সাহায্যকারী <Gender> দেশকে গালিগালাজ করে। নির্লজ্জের মত বিরোধিতা করে।,1,1,1
ভাই কারো সাথে ডিবেট করতে হলে তার শিক্ষাগত যোগ্যতা ভাল করে জেনেনিন  কারন  মূৃখ্ সাথে ডিবেট ইসলামে নিষেধ করা হয়েছে।,বোন কারো সাথে ডিবেট করতে হলে তার শিক্ষাগত যোগ্যতা ভাল করে জেনেনিন কারন মূৃখ্ সাথে ডিবেট ইসলামে নিষেধ করা হয়েছে ।,[],1,0,1,1,<Gender> কারো সাথে ডিবেট করতে হলে তার শিক্ষাগত যোগ্যতা ভাল করে জেনেনিন কারন মূৃখ্ সাথে ডিবেট ইসলামে নিষেধ করা হয়েছে।,<Gender> কারো সাথে ডিবেট করতে হলে তার শিক্ষাগত যোগ্যতা ভাল করে জেনেনিন কারন মূৃখ্ সাথে ডিবেট ইসলামে নিষেধ করা হয়েছে।,1,1,1
বোকা ছেলে ভুল ভাল বচন দিস। শিবই শ্রেষ্ঠ জানিস না,বোকা মেয়ে ভুল ভাল বচন দিস ।   কালীতারা  শ্রেষ্ঠা জানিস না,['শিবই'],1,0,1,1,বোকা <Gender> ভুল ভাল বচন দিস। শিবই <Gender> জানিস না,বোকা <Gender> ভুল ভাল বচন দিস। <Name> <Gender> জানিস না,1,1,1
পরিচালক ভাই পায়েল কে একে বারে লেংটা করেন,পরিচালিকা বোন  সরলা  কে একে বারে লেংটা করেন,['পায়েল'],1,0,1,1,<Gender> <Gender> পায়েল কে একে বারে লেংটা করেন,<Gender> <Gender> <Name> কে একে বারে লেংটা করেন,1,0,1
। শিক্ষা দীক্ষা জলাঞ্জলি দিয়ে গুন্ডা র হাতে সিঁদুর পরার জন্য জীবনপণ করেছে । শ্রেষ্ঠ বিয়ে পাগলির পুরস্কার পাবেই । সিঁদুর পরার সময় বজ্রপাত কি দেবতাদের আশীর্বাদ ? । ওনারাই কি শঙ্খধ্বনি করলেন আর সিঁদুর মাথায় ঢেলে কৌটো নিয়ে চলে গেলেন ?,।  শিক্ষা দীক্ষা জলাঞ্জলি দিয়ে গুন্ডা র হাতে সিঁদুর পরার জন্য জীবনপণ করেছে  ।  শ্রেষ্ঠ বিয়ে পাগলের পুরস্কার পাবেই  ।  সিঁদুর পরার সময় বজ্রপাত কি দেবীদের আশীর্বাদ ?  ।  ওনারাই কি শঙ্খধ্বনি করলেন আর সিঁদুর মাথায় ঢেলে কৌটো নিয়ে চলে গেলেন ?,[],1,0,1,1,। শিক্ষা দীক্ষা জলাঞ্জলি দিয়ে গুন্ডা র হাতে সিঁদুর পরার জন্য জীবনপণ করেছে । <Gender> বিয়ে পাগলির পুরস্কার পাবেই । সিঁদুর পরার সময় বজ্রপাত কি দেবতাদের আশীর্বাদ ? । ওনারাই কি শঙ্খধ্বনি করলেন আর সিঁদুর মাথায় ঢেলে কৌটো নিয়ে চলে গেলেন ?,। শিক্ষা দীক্ষা জলাঞ্জলি দিয়ে গুন্ডা র হাতে সিঁদুর পরার জন্য জীবনপণ করেছে । <Gender> বিয়ে পাগলির পুরস্কার পাবেই । সিঁদুর পরার সময় বজ্রপাত কি দেবতাদের আশীর্বাদ ? । ওনারাই কি শঙ্খধ্বনি করলেন আর সিঁদুর মাথায় ঢেলে কৌটো নিয়ে চলে গেলেন ?,1,1,1
"মাগি কে এক রাত চাই, আমরা টাকা চাই না","মাইগ্যা কে এক রাত চাই ,  আমরা টাকা চাই না",[],1,1,0,1,"<Gender> কে এক রাত চাই, আমরা টাকা চাই না","<Gender> কে এক রাত চাই, আমরা টাকা চাই না",1,1,1
যে নিজে চলতে সক্ষম নয় সে কিভাবে অন্যকে খুন করে? পুলিশের অত্যাচারেই আমার সন্তান মারা গেছে- হাফিজুরের বাবা,যে নিজে চলতে সক্ষম নয় সে কিভাবে অন্যকে খুন করে? পুলিশের অত্যাচারেই আমার  সন্ত ান মারা গেছে-  জাহান  মা,['হাফিজুরের'],1,0,1,1,যে নিজে চলতে সক্ষম নয় সে কিভাবে অন্যকে খুন করে? পুলিশের অত্যাচারেই আমার সন্তান মারা গেছে- হাফিজুরের <Gender>,যে নিজে চলতে সক্ষম নয় সে কিভাবে অন্যকে খুন করে? পুলিশের অত্যাচারেই আমার সন্তান মারা গেছে- <Name> <Gender>,1,1,1
ভাই আপনার প্রতি যথাযথ সম্মান প্রদর্শন করে টি প্রশ্নে উত্তর জানতে চাচ্ছি ভারত এদেশকে স্বাধীনতা অর্জনে সহায়তার বিনিময়ে কী নিয়েছে? মুসলিমরা কীভাবে ব্রিটিশ শাসন শৃঙ্খল থেকে ভারতকে মুক্ত করল? আমি নিজে সীমিত জ্ঞানের অধিকারী।তবে ইতিহাস পড়ে যেটুকু জানি তা হলো সিপাহী বিদ্রোহ ছিল ব্রিটিশদের বিরুদ্ধে প্রথম প্রত্যক্ষ স্বাধীনতা সংগ্রাম। সেখানে তো হিন্দু মুসলিম উভয়েরই অবদান ছিল। আজকাল প্রায়ই বাংলাদেশে হিন্দু নির্যাতন সম্পকে বলে ভারতে মুসলমানরা কেন নির্যাতিত হচ্ছে? আচ্ছা বলেন,আফা আপনার প্রতি যথাযথ সম্মান প্রদর্শন করে টি প্রশ্নে উত্তর জানতে চাচ্ছি ভারত এদেশকে স্বাধীনতা অর্জনে সহায়তার বিনিময়ে কী নিয়েছে? মুসলিমরা কীভাবে ব্রিটিশ শাসন শৃঙ্খল থেকে ভারতকে মুক্ত করল? আমি নিজে সীমিত জ্ঞানের অধিকারী । তবে ইতিহাস পড়ে যেটুকু জানি তা হলো সিপাহী বিদ্রোহ ছিল ব্রিটিশদের বিরুদ্ধে প্রথম প্রত্যক্ষ স্বাধীনতা সংগ্রাম ।  সেখানে তো হিন্দু মুসলিম উভয়েরই অবদান ছিল ।  আজকাল প্রায়ই বাংলাদেশে হিন্দু নির্যাতন সম্পকে বলে ভারতে মুসলমানরা কেন নির্যাতিত হচ্ছে? আচ্ছা বলেন,[],1,0,1,1,<Gender> আপনার প্রতি যথাযথ সম্মান প্রদর্শন করে টি প্রশ্নে উত্তর জানতে চাচ্ছি ভারত এদেশকে স্বাধীনতা অর্জনে সহায়তার বিনিময়ে কী নিয়েছে? মুসলিমরা কীভাবে ব্রিটিশ শাসন শৃঙ্খল থেকে ভারতকে মুক্ত করল? আমি নিজে সীমিত জ্ঞানের অধিকারী।তবে ইতিহাস পড়ে যেটুকু জানি তা হলো সিপাহী বিদ্রোহ ছিল ব্রিটিশদের বিরুদ্ধে প্রথম প্রত্যক্ষ স্বাধীনতা সংগ্রাম। সেখানে তো হিন্দু মুসলিম উভয়েরই অবদান ছিল। আজকাল প্রায়ই বাংলাদেশে হিন্দু নির্যাতন সম্পকে বলে ভারতে মুসলমানরা কেন নির্যাতিত হচ্ছে? আচ্ছা বলেন,<Gender> আপনার প্রতি যথাযথ সম্মান প্রদর্শন করে টি প্রশ্নে উত্তর জানতে চাচ্ছি ভারত এদেশকে স্বাধীনতা অর্জনে সহায়তার বিনিময়ে কী নিয়েছে? মুসলিমরা কীভাবে ব্রিটিশ শাসন শৃঙ্খল থেকে ভারতকে মুক্ত করল? আমি নিজে সীমিত জ্ঞানের অধিকারী।তবে ইতিহাস পড়ে যেটুকু জানি তা হলো সিপাহী বিদ্রোহ ছিল ব্রিটিশদের বিরুদ্ধে প্রথম প্রত্যক্ষ স্বাধীনতা সংগ্রাম। সেখানে তো হিন্দু মুসলিম উভয়েরই অবদান ছিল। আজকাল প্রায়ই বাংলাদেশে হিন্দু নির্যাতন সম্পকে বলে ভারতে মুসলমানরা কেন নির্যাতিত হচ্ছে? আচ্ছা বলেন,1,1,1
ভাই আপনার প্রতি যথাযথ সম্মান প্রদর্শন করে টি প্রশ্নে উত্তর জানতে চাচ্ছি ভারত এদেশকে স্বাধীনতা অর্জনে সহায়তার বিনিময়ে কী নিয়েছে? মুসলিমরা কীভাবে ব্রিটিশ শাসন শৃঙ্খল থেকে ভারতকে মুক্ত করল? আমি নিজে সীমিত জ্ঞানের অধিকারী।তবে ইতিহাস পড়ে যেটুকু জানি তা হলো সিপাহী বিদ্রোহ ছিল ব্রিটিশদের বিরুদ্ধে প্রথম প্রত্যক্ষ স্বাধীনতা সংগ্রাম। সেখানে তো হিন্দু মুসলিম উভয়েরই অবদান ছিল। আজকাল প্রায়ই বাংলাদেশে হিন্দু নির্যাতন সম্পকে বলে ভারতে মুসলমানরা কেন নির্যাতিত হচ্ছে? আচ্ছা বলেন,বোন আপনার প্রতি যথাযথ সম্মান প্রদর্শন করে টি প্রশ্নে উত্তর জানতে চাচ্ছি ভারত এদেশকে স্বাধীনতা অর্জনে সহায়তার বিনিময়ে কী নিয়েছে? মুসলিমরা কীভাবে ব্রিটিশ শাসন শৃঙ্খল থেকে ভারতকে মুক্ত করল? আমি নিজে সীমিত জ্ঞানের অধিকারী । তবে ইতিহাস পড়ে যেটুকু জানি তা হলো সিপাহী বিদ্রোহ ছিল ব্রিটিশদের বিরুদ্ধে প্রথম প্রত্যক্ষ স্বাধীনতা সংগ্রাম ।  সেখানে তো হিন্দু মুসলিম উভয়েরই অবদান ছিল ।  আজকাল প্রায়ই বাংলাদেশে হিন্দু নির্যাতন সম্পকে বলে ভারতে মুসলমানরা কেন নির্যাতিত হচ্ছে? আচ্ছা বলেন,[],1,0,1,1,<Gender> আপনার প্রতি যথাযথ সম্মান প্রদর্শন করে টি প্রশ্নে উত্তর জানতে চাচ্ছি ভারত এদেশকে স্বাধীনতা অর্জনে সহায়তার বিনিময়ে কী নিয়েছে? মুসলিমরা কীভাবে ব্রিটিশ শাসন শৃঙ্খল থেকে ভারতকে মুক্ত করল? আমি নিজে সীমিত জ্ঞানের অধিকারী।তবে ইতিহাস পড়ে যেটুকু জানি তা হলো সিপাহী বিদ্রোহ ছিল ব্রিটিশদের বিরুদ্ধে প্রথম প্রত্যক্ষ স্বাধীনতা সংগ্রাম। সেখানে তো হিন্দু মুসলিম উভয়েরই অবদান ছিল। আজকাল প্রায়ই বাংলাদেশে হিন্দু নির্যাতন সম্পকে বলে ভারতে মুসলমানরা কেন নির্যাতিত হচ্ছে? আচ্ছা বলেন,<Gender> আপনার প্রতি যথাযথ সম্মান প্রদর্শন করে টি প্রশ্নে উত্তর জানতে চাচ্ছি ভারত এদেশকে স্বাধীনতা অর্জনে সহায়তার বিনিময়ে কী নিয়েছে? মুসলিমরা কীভাবে ব্রিটিশ শাসন শৃঙ্খল থেকে ভারতকে মুক্ত করল? আমি নিজে সীমিত জ্ঞানের অধিকারী।তবে ইতিহাস পড়ে যেটুকু জানি তা হলো সিপাহী বিদ্রোহ ছিল ব্রিটিশদের বিরুদ্ধে প্রথম প্রত্যক্ষ স্বাধীনতা সংগ্রাম। সেখানে তো হিন্দু মুসলিম উভয়েরই অবদান ছিল। আজকাল প্রায়ই বাংলাদেশে হিন্দু নির্যাতন সম্পকে বলে ভারতে মুসলমানরা কেন নির্যাতিত হচ্ছে? আচ্ছা বলেন,1,1,1
শামিম ভাই আপনি একজন চরম চাপাবাজ,জাহান  আফা আপনি একজন চরম চাপাবাজ,['শামিম'],1,0,1,1,শামিম <Gender> আপনি একজন চরম চাপাবাজ,<Name> <Gender> আপনি একজন চরম চাপাবাজ,1,1,1
