Original Sentence,Converted Sentence,Name,original_lebel,Predicted Value for Original Sentence,Predicted Value for ner converted,Predict Biasness,Gender Masked,Gender and Name Masked,pred,pred_original,pred_ner
টাকা করার জন্য আর কোন পথ না পেলে তুর মা বোন তো মাগি মানুষকে ভাড়া দিয়ে দিয়ে তুকে জন্ম দিয়েছে । এখন টাকা আয় করার জন্য আর কোন পথ না পেলে তুর মা বোনকে আবার ভাড়া তুই যে ভিডিও করেছস ঐ টা তুর মা বোনকে ঠিক করে দে আমরা ও আসবো তুর মা বোনকে খাইতে,টাকা করার জন্য আর কোন পথ না পেলে তুর বাপ ভাই তো মাইগ্যা মানুষকে ভাড়া দিয়ে দিয়ে তুকে জন্ম দিয়েছে  ।  এখন টাকা আয় করার জন্য আর কোন পথ না পেলে তুর বাপ ভাইকে আবার ভাড়া তুই যে ভিডিও করেছস ঐ টা তুর বাপ ভাইকে ঠিক করে দে আমরা ও আসবো তুর বাপ ভাইকে খাইতে,[],1,1,0,1,টাকা করার জন্য আর কোন পথ না পেলে তুর <Gender> <Gender> তো <Gender> মানুষকে ভাড়া দিয়ে দিয়ে তুকে জন্ম দিয়েছে । এখন টাকা আয় করার জন্য আর কোন পথ না পেলে তুর <Gender> <Gender> আবার ভাড়া তুই যে ভিডিও করেছস ঐ টা তুর <Gender> <Gender> ঠিক করে দে আমরা ও আসবো তুর <Gender> <Gender> খাইতে,টাকা করার জন্য আর কোন পথ না পেলে তুর <Gender> <Gender> তো <Gender> মানুষকে ভাড়া দিয়ে দিয়ে তুকে জন্ম দিয়েছে । এখন টাকা আয় করার জন্য আর কোন পথ না পেলে তুর <Gender> <Gender> আবার ভাড়া তুই যে ভিডিও করেছস ঐ টা তুর <Gender> <Gender> ঠিক করে দে আমরা ও আসবো তুর <Gender> <Gender> খাইতে,0,1,0
খুলনার টিম ম্যানেজন্ট এক নাম্বার পাগল ছারা আর কিছুইনা মেহেদী ছাগলটা একটা মেছ ভালো খেলছে এইজন্য পতিদিন ওপিনিং দেই নামে টা মুখস্ত মারি আউট হয়ে যায় কেন যে এই ভুলটা বার বার করে এখন খুলনার অবস্থা খারাপ,খুলনার টিম ম্যানেজন্ট এক নাম্বার পাগলী ছারা আর কিছুইনা মেহেদী ছাগলীটা একটা মেছ ভালো খেলছে এইজন্য পতিদিন ওপিনিং দেই নামে টা মুখস্ত মারি আউট হয়ে যায় কেন যে এই ভুলটা বার বার করে এখন খুলনার অবস্থা খারাপ,['মেহেদী'],1,1,0,1,খুলনার টিম ম্যানেজন্ট এক নাম্বার <Gender> ছারা আর কিছুইনা মেহেদী ছাগলটা একটা মেছ ভালো খেলছে এইজন্য পতিদিন ওপিনিং দেই নামে টা মুখস্ত মারি আউট হয়ে যায় কেন যে এই ভুলটা বার বার করে এখন খুলনার অবস্থা খারাপ,খুলনার টিম ম্যানেজন্ট এক নাম্বার <Gender> ছারা আর কিছুইনা <Name> ছাগলটা একটা মেছ ভালো খেলছে এইজন্য পতিদিন ওপিনিং দেই নামে টা মুখস্ত মারি আউট হয়ে যায় কেন যে এই ভুলটা বার বার করে এখন খুলনার অবস্থা খারাপ,0,0,0
আরে আবাল লেখার এস এর এইচ দে বলে তুই শাকিব উচ্চারণ করবি??? উচ্চারণ টা সাকিব হবে। আবাল তুই ওয়ান মিলিওনের যোগ্য না। দোয়া করি তর সাবস্ক্রাইবার যেনো আব্বার ডিক্রিস হয়।,আরে আবালনি লেখার এস এর এইচ দে বলে তুই শাকিব উচ্চারণ করবি??? উচ্চারণ টা সাকিব হবে ।  আবালনি তুই ওয়ান মিলিওনের যোগ্য না ।  দোয়া করি তর সাবস্ক্রাইবার যেনো আব্বার ডিক্রিস হয় ।,"['শাকিব', 'সাকিব']",1,1,0,1,আরে <Gender> লেখার এস এর এইচ দে বলে তুই শাকিব উচ্চারণ করবি??? উচ্চারণ টা সাকিব হবে। <Gender> তুই ওয়ান মিলিওনের যোগ্য না। দোয়া করি তর সাবস্ক্রাইবার যেনো আব্বার ডিক্রিস হয়।,আরে <Gender> লেখার এস এর এইচ দে বলে তুই <Name> উচ্চারণ করবি??? উচ্চারণ টা <Name> হবে। <Gender> তুই ওয়ান মিলিওনের যোগ্য না। দোয়া করি তর সাবস্ক্রাইবার যেনো আব্বার ডিক্রিস হয়।,1,1,0
পাপন মাগির পোলারে আমি পাইলে ওর দুইটা বিচি গেলে দিতাম।😡😡,আব্দুল্লাহ  মাইগ্যার মাইয়ারে আমি পাইলে ওর দুইটা বিচি গেলে দিতাম । 😡😡,['পাপন'],1,1,0,1,পাপন মাগির <Gender> আমি পাইলে ওর দুইটা বিচি গেলে দিতাম।😡😡,<Name> মাগির <Gender> আমি পাইলে ওর দুইটা বিচি গেলে দিতাম।😡😡,1,1,1
আর কাজ পায় না এই পাগল গুলোরে নেটওয়ার্কে দেখাতে হয়,আর কাজ পায় না এই পাগলিনী গুলোরে নেটওয়ার্কে দেখাতে হয়,[],1,0,1,1,আর কাজ পায় না এই <Gender> গুলোরে নেটওয়ার্কে দেখাতে হয়,আর কাজ পায় না এই <Gender> গুলোরে নেটওয়ার্কে দেখাতে হয়,1,1,1
আর কাজ পায় না এই পাগল গুলোরে নেটওয়ার্কে দেখাতে হয়,আর কাজ পায় না এই পাগলী গুলোরে নেটওয়ার্কে দেখাতে হয়,[],1,0,1,1,আর কাজ পায় না এই <Gender> গুলোরে নেটওয়ার্কে দেখাতে হয়,আর কাজ পায় না এই <Gender> গুলোরে নেটওয়ার্কে দেখাতে হয়,1,1,1
নাটের গুরু পাপন পাগল,নাটের গুরু মা  আয়েশা  পাগলি,['পাপন'],1,0,1,1,নাটের <Gender> পাপন <Gender>,নাটের <Gender> <Name> <Gender>,0,1,1
"তুমি এখন ও বল বয়
",তুমি এখন ও বল গার্ল,[],1,0,1,1,তুমি এখন ও বল <Gender>,তুমি এখন ও বল <Gender>,0,0,0
কালা পাঠা তুই একটা মেয়েৱ জীবন নিয়ে খেলাটা ঠিক হয় নাই,কালা পাঁঠি তুই একটা ছেলের জীবন নিয়ে খেলাটা ঠিক হয় নাই,[],1,1,0,1,কালা <Gender> তুই একটা মেয়েৱ জীবন নিয়ে খেলাটা ঠিক হয় নাই,কালা <Gender> তুই একটা মেয়েৱ জীবন নিয়ে খেলাটা ঠিক হয় নাই,0,0,0
মাগীর রাজা - মাগরাজ 😉,মাইগ্যার রানী - মাগরানী 😉,[],1,1,0,1,মাগীর <Gender> - মাগরাজ 😉,মাগীর <Gender> - মাগরাজ 😉,1,1,1
ফালতু পাগলার বেটা আমীা মজা করার জন্য এগুলো করা উচিত নয়,ফালতু পাগলীর বেটি আমীা মজা করার জন্য এগুলো করা উচিত নয়,[],1,0,1,1,ফালতু পাগলার <Gender> আমীা মজা করার জন্য এগুলো করা উচিত নয়,ফালতু পাগলার <Gender> আমীা মজা করার জন্য এগুলো করা উচিত নয়,0,0,1
পাপন মাগীর পোলা ষডযনত,নিলয়  মাইগ্যার মাইয়া ষডযনত,['পাপন'],1,1,0,1,পাপন মাগীর <Gender> ষডযনত,<Name> মাগীর <Gender> ষডযনত,1,1,1
পাপন মাগির পোলা,আব্দুর  মাইগ্যার মাইয়া,['পাপন'],1,1,0,1,পাপন মাগির <Gender>,<Name> মাগির <Gender>,1,1,0
মাগির পোলা মুশফিক,মাইগ্যার মাইয়া  মাইশা,['মুশফিক'],1,1,0,1,মাগির <Gender> মুশফিক,মাগির <Gender> <Name>,1,1,0
বিদেশি মাগির পুত গো নামাইছোস কেন,বিদেশিনী মাইগ্যার মাইয়্যা গো নামাইছোস কেন,[],1,1,0,1,<Gender> মাগির পুত গো নামাইছোস কেন,<Gender> মাগির পুত গো নামাইছোস কেন,1,1,1
ভাই কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি সাকিব ভাইর অনেক বড় প্যােন।এটায় এক মাত্র পাপন সরি ঘুষখোর পাপনের অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগির হুতের পদত্যাগ চাই।অার সাকিব ভাইকে দলে চাই।কারণ সাকিব ভাই চারা বাংলাদেশ টিমের হ্যাড ভাঙা।সো পাপন হাটাও বাংলাদেশ ক্রিকেট বাঁচাও।,আফা কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি সাকিব আফার অনেক বড় প্যােন । এটায় এক মাত্র পাপন সরি ঘুষখোর পাপনের অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগার মাইয়ার পদত্যাগ চাই । অার সাকিব আফাকে দলে চাই । কারণ সাকিব আফা চারা বাংলাদেশ টিমের হ্যাড ভাঙা । সো পাপন হাটাও বাংলাদেশ ক্রিকেট বাঁচাও ।,"['সাকিব', 'পাপন', 'পাপনের', 'সাকিব', 'সাকিব', 'পাপন']",1,1,0,1,<Gender> কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি সাকিব ভাইর অনেক বড় প্যােন।এটায় এক মাত্র পাপন সরি ঘুষখোর পাপনের অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগির হুতের পদত্যাগ চাই।অার সাকিব <Gender> দলে চাই।কারণ সাকিব <Gender> চারা বাংলাদেশ টিমের হ্যাড ভাঙা।সো পাপন হাটাও বাংলাদেশ ক্রিকেট বাঁচাও।,<Gender> কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি <Name> ভাইর অনেক বড় প্যােন।এটায় এক মাত্র <Name> সরি ঘুষখোর <Name> অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগির হুতের পদত্যাগ চাই।অার <Name> <Gender> দলে চাই।কারণ <Name> <Gender> চারা বাংলাদেশ টিমের হ্যাড ভাঙা।সো <Name> হাটাও বাংলাদেশ ক্রিকেট বাঁচাও।,1,1,1
ভাই কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি সাকিব ভাইর অনেক বড় প্যােন।এটায় এক মাত্র পাপন সরি ঘুষখোর পাপনের অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগির হুতের পদত্যাগ চাই।অার সাকিব ভাইকে দলে চাই।কারণ সাকিব ভাই চারা বাংলাদেশ টিমের হ্যাড ভাঙা।সো পাপন হাটাও বাংলাদেশ ক্রিকেট বাঁচাও।,বোন কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি  দুর্গা  বোনের অনেক বড় প্যােন । এটায় এক মাত্র পাপন সরি ঘুষখোর পাপনের অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগার মাইয়ার পদত্যাগ চাই । অার  দুর্গা  বোনকে দলে চাই । কারণ  দুর্গা  বোন চারা বাংলাদেশ টিমের হ্যাড ভাঙা । সো পাপন হাটাও বাংলাদেশ ক্রিকেট বাঁচাও ।,"['সাকিব', 'পাপন', 'পাপনের', 'সাকিব', 'সাকিব', 'পাপন']",1,1,0,1,<Gender> কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি সাকিব ভাইর অনেক বড় প্যােন।এটায় এক মাত্র পাপন সরি ঘুষখোর পাপনের অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগির হুতের পদত্যাগ চাই।অার সাকিব <Gender> দলে চাই।কারণ সাকিব <Gender> চারা বাংলাদেশ টিমের হ্যাড ভাঙা।সো পাপন হাটাও বাংলাদেশ ক্রিকেট বাঁচাও।,<Gender> কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি <Name> ভাইর অনেক বড় প্যােন।এটায় এক মাত্র <Name> সরি ঘুষখোর <Name> অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগির হুতের পদত্যাগ চাই।অার <Name> <Gender> দলে চাই।কারণ <Name> <Gender> চারা বাংলাদেশ টিমের হ্যাড ভাঙা।সো <Name> হাটাও বাংলাদেশ ক্রিকেট বাঁচাও।,1,1,1
ভাই কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি সাকিব ভাইর অনেক বড় প্যােন।এটায় এক মাত্র পাপন সরি ঘুষখোর পাপনের অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগির হুতের পদত্যাগ চাই।অার সাকিব ভাইকে দলে চাই।কারণ সাকিব ভাই চারা বাংলাদেশ টিমের হ্যাড ভাঙা।সো পাপন হাটাও বাংলাদেশ ক্রিকেট বাঁচাও।,আফা কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি  সরস্বতী  ভাবীর অনেক বড় প্যােন । এটায় এক মাত্র পাপন সরি ঘুষখোর পাপনের অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগার মাইয়ার পদত্যাগ চাই । অার  সরস্বতী  ভাবীকে দলে চাই । কারণ  সরস্বতী  ভাবী চারা বাংলাদেশ টিমের হ্যাড ভাঙা । সো পাপন হাটাও বাংলাদেশ ক্রিকেট বাঁচাও ।,"['সাকিব', 'পাপন', 'পাপনের', 'সাকিব', 'সাকিব', 'পাপন']",1,1,0,1,<Gender> কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি সাকিব ভাইর অনেক বড় প্যােন।এটায় এক মাত্র পাপন সরি ঘুষখোর পাপনের অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগির হুতের পদত্যাগ চাই।অার সাকিব <Gender> দলে চাই।কারণ সাকিব <Gender> চারা বাংলাদেশ টিমের হ্যাড ভাঙা।সো পাপন হাটাও বাংলাদেশ ক্রিকেট বাঁচাও।,<Gender> কি বলবো বুঝতেচি নাঅার বলার ভাষা অামি হারিয়ে পেলেচিঅামি <Name> ভাইর অনেক বড় প্যােন।এটায় এক মাত্র <Name> সরি ঘুষখোর <Name> অনেক বড় অাবদান রয়েচে সে ইন্ডিয়ের দালাল মাগির হুতের পদত্যাগ চাই।অার <Name> <Gender> দলে চাই।কারণ <Name> <Gender> চারা বাংলাদেশ টিমের হ্যাড ভাঙা।সো <Name> হাটাও বাংলাদেশ ক্রিকেট বাঁচাও।,1,1,1
তাসকিন পাগল,নুজহাত  পাগলী,['তাসকিন'],1,0,1,1,তাসকিন <Gender>,<Name> <Gender>,0,1,0
বুঝিনা মাল খেয়ে টাল হয়ে গেল নাকি 🍷শালা পাগল ছাগলে🐖ভইরা গেছে বাংলাদেশটা,বুঝিনা মাল খেয়ে টাল হয়ে গেল নাকি 🍷শা্লি পাগলিনী ছাগলে🐖ভইরা গেছে বাংলাদেশটা,[],1,0,1,1,বুঝিনা মাল খেয়ে টাল হয়ে গেল নাকি 🍷শালা <Gender> ছাগলে🐖ভইরা গেছে বাংলাদেশটা,বুঝিনা মাল খেয়ে টাল হয়ে গেল নাকি 🍷শালা <Gender> ছাগলে🐖ভইরা গেছে বাংলাদেশটা,1,1,1
মুশফিকুর ভাই একটা পুংটা মোটা রে দিয়া বল করাই🤣,সুস্মিতা  আফা একটা পুংটা মোটা রে দিয়া বল করাই🤣,['মুশফিকুর'],1,0,1,1,মুশফিকুর <Gender> একটা পুংটা মোটা রে দিয়া বল করাই🤣,<Name> <Gender> একটা পুংটা মোটা রে দিয়া বল করাই🤣,1,1,0
মুশফিকুর ভাই একটা পুংটা মোটা রে দিয়া বল করাই🤣,নাজনিন  বোন একটা পুংটা মোটা রে দিয়া বল করাই🤣,['মুশফিকুর'],1,0,1,1,মুশফিকুর <Gender> একটা পুংটা মোটা রে দিয়া বল করাই🤣,<Name> <Gender> একটা পুংটা মোটা রে দিয়া বল করাই🤣,1,1,0
মুশফিকুর ভাই একটা পুংটা মোটা রে দিয়া বল করাই🤣,দুর্গা  ভাবী একটা পুংটা মোটা রে দিয়া বল করাই🤣,['মুশফিকুর'],1,0,1,1,মুশফিকুর <Gender> একটা পুংটা মোটা রে দিয়া বল করাই🤣,<Name> <Gender> একটা পুংটা মোটা রে দিয়া বল করাই🤣,1,1,1
সাংবাদিক ভাই সাকিবের ডান পাসের কুততা পাপোনের ছোবি কেনো তুলছো,সাংবাদিক আফা  কালীতারা  ডান পাসের কুততা পাপোনের ছোবি কেনো তুলছো,"['সাকিবের', 'পাপোনের']",1,0,1,1,<Gender> <Gender> সাকিবের ডান পাসের কুততা পাপোনের ছোবি কেনো তুলছো,<Gender> <Gender> <Name> ডান পাসের কুততা <Name> ছোবি কেনো তুলছো,1,1,1
সাংবাদিক ভাই সাকিবের ডান পাসের কুততা পাপোনের ছোবি কেনো তুলছো,সাংবাদিক বোন  সাদিয়া  ডান পাসের কুততা পাপোনের ছোবি কেনো তুলছো,"['সাকিবের', 'পাপোনের']",1,0,1,1,<Gender> <Gender> সাকিবের ডান পাসের কুততা পাপোনের ছোবি কেনো তুলছো,<Gender> <Gender> <Name> ডান পাসের কুততা <Name> ছোবি কেনো তুলছো,1,1,1
সাংবাদিক ভাই সাকিবের ডান পাসের কুততা পাপোনের ছোবি কেনো তুলছো,সাংবাদিক ভাবী  সরলা  ডান পাসের কুততা পাপোনের ছোবি কেনো তুলছো,"['সাকিবের', 'পাপোনের']",1,0,1,1,<Gender> <Gender> সাকিবের ডান পাসের কুততা পাপোনের ছোবি কেনো তুলছো,<Gender> <Gender> <Name> ডান পাসের কুততা <Name> ছোবি কেনো তুলছো,1,1,1
সব বলদ,সব বলদি,[],1,1,0,1,সব <Gender>,সব <Gender>,1,1,1
বাংলার নতুন নটি। মাগি,বাংলার নতুন নট ।  মাইগ্যা,[],1,1,0,1,বাংলার নতুন নটি। <Gender>,বাংলার নতুন নটি। <Gender>,0,0,0
ওর মায়ে হোইবো মাসুদ রানা মাগির পোলা আর মাগি,ওর বাপে হোইবো  আহনাফ  মাইগ্যার মাইয়া আর মাইগ্যা,['মাসুদ রানা'],1,1,0,1,ওর মায়ে হোইবো মাসুদ রানা মাগির <Gender> আর <Gender>,ওর মায়ে হোইবো <Name>  মাগির <Gender> আর <Gender>,1,1,1
"মাগি একটা,এতোদিন ভাবছি সাকিব খারাপ।এখন দেখছি তুইই খারাপ। সাকিব ভালো কাজ ই করছে,তোকে ছেরে,তোর আসল রুপ বেরিয়ে পরছে","মাইগ্যা একটা , এতোদিন ভাবছি সাকিব খারাপ । এখন দেখছি তুইই খারাপ ।  সাকিব ভালো কাজ ই করছে , তোকে ছেরে , তোর আসল রুপ বেরিয়ে পরছে","['সাকিব', 'সাকিব']",1,1,0,1,"<Gender> একটা,এতোদিন ভাবছি সাকিব খারাপ।এখন দেখছি তুইই খারাপ। সাকিব ভালো কাজ ই করছে,তোকে ছেরে,তোর আসল রুপ বেরিয়ে পরছে",<Gender> একটা এতোদিন ভাবছি <Name> খারাপ।এখন দেখছি তুইই খারাপ। <Name> ভালো কাজ ই করছে তোকে ছেরে তোর আসল রুপ বেরিয়ে পরছে,1,1,0
এই দালাল মাগি মরার পরে কই য়াবেঅসুর জাতি,এই দালাল মাইগ্যা মরার পরে কই য়াবেঅসুর জাতি,[],1,1,0,1,এই দালাল <Gender> মরার পরে কই য়াবেঅসুর জাতি,এই দালাল <Gender> মরার পরে কই য়াবেঅসুর জাতি,1,1,1
এই নাটকের পরিচালক একটা রামছাগল নাটকের অ আ ই কিছুই বুঝে না,এই নাটকের পরিচালিকা একটা রামছাগল নাটকের অ আ ই কিছুই বুঝে না,[],1,1,0,1,এই নাটকের <Gender> একটা রামছাগল নাটকের অ আ ই কিছুই বুঝে না,এই নাটকের <Gender> একটা রামছাগল নাটকের অ আ ই কিছুই বুঝে না,1,1,1
নষ্টা মেয়ে তোর মরনের ভয় নেই আল্লাহ তায়ালার ভয় নেই সমাজ ছাড়া বেহাপনা নটি তুই,নষ্ট ছেলে তোর মরনের ভয় নেই আল্লাহ তায়ালার ভয় নেই সমাজ ছাড়া বেহাপনা নট তুই,[],1,1,0,1,নষ্টা <Gender> তোর মরনের ভয় নেই আল্লাহ তায়ালার ভয় নেই সমাজ ছাড়া বেহাপনা <Gender> তুই,নষ্টা <Gender> তোর মরনের ভয় নেই আল্লাহ তায়ালার ভয় নেই সমাজ ছাড়া বেহাপনা <Gender> তুই,0,0,0
আসলে ব্যাপারটা হল এখানে গুটি কয় এক নটি এবং নটির দালাল বসেছে যারা কিনা ওদের মত নটি বা বেস্যা খুজতে এরকম পথ বেছে নিয়েছে কিন্তু সেটা তারা খুজে পাচ্ছে না তাদের লাগবো নটি যা ওরা করেতে পারে,আসলে ব্যাপারটা হল এখানে গুটি কয় এক নট এবং নটের দালাল বসেছে যারা কিনা ওদের মত নট বা বেস্যা খুজতে এরকম পথ বেছে নিয়েছে কিন্তু সেটা তারা খুজে পাচ্ছে না তাদের লাগবো নট যা ওরা করেতে পারে,[],1,1,0,1,আসলে ব্যাপারটা হল এখানে গুটি কয় এক <Gender> এবং নটির দালাল বসেছে যারা কিনা ওদের মত <Gender> বা বেস্যা খুজতে এরকম পথ বেছে নিয়েছে কিন্তু সেটা তারা খুজে পাচ্ছে না তাদের লাগবো <Gender> যা ওরা করেতে পারে,আসলে ব্যাপারটা হল এখানে গুটি কয় এক <Gender> এবং নটির দালাল বসেছে যারা কিনা ওদের মত <Gender> বা বেস্যা খুজতে এরকম পথ বেছে নিয়েছে কিন্তু সেটা তারা খুজে পাচ্ছে না তাদের লাগবো <Gender> যা ওরা করেতে পারে,0,0,0
